date,source,sentence,topic,people (keyword count in url),crops (keyword count in url),homes (keyword count in url),money (keyword count in url),importance (keyword count in url),location
5/3/16,https://www.tribuneindia.com/news/community/ig-terms-gangsters-offensive-fb-posts-freedom-of-speech/231182.html," nikhil bhardwaj tribune news service jalandhar, may 2    the facebook page of notorious gangster sukha kahlon, who was killed in police custody near phagwara in january last year, is still being flooded with threatening posts aimed at rival gangster vicky gounder and the police",death,2,3,1,0,6,jalandhar
10/9/15,https://www.tribuneindia.com/news/governance/abohar-municipal-council-to-act-tough-against-defaulters/143560.html, the council had recently come under fire over the dead animal disposal scam which revealed that the mc had been “unofficially” awarding a contract to any person for the past eight years and earning about rs 2 lakh per annum,death,10,0,1,1,12,"sangrur, sas nagar"
10/9/15,https://www.tribuneindia.com/news/governance/abohar-municipal-council-to-act-tough-against-defaulters/143560.html," the council, at a meeting held after four months, has now resolved to put disposal of dead animals on auction",death,10,0,1,1,12,"sangrur, sas nagar"
8/12/15,https://www.tribuneindia.com/news/community/house-gets-flooded-ex-dig-sits-on-dharna/118756.html,"tribune news service  ropar, august 11 a retired deputy inspector general of police iqbal singh lalpura started a fast-unto-death outside the deputy commissioner’s residence when his pleas to remove water from his flooded house fell on deaf ears",death,3,14,11,0,28,punjab
2/28/15,https://www.tribuneindia.com/news/punjab/punjab-entrepreneurs-say-budget-has-no-goodies-for-sports-cycle-industry/48015.html,ush({ });  sports goods industry developed in jalandhar after skilled hindu craftsmen migrated from pakistan's sialkot area after partition in 1947,death,5,6,2,0,13,"jalandhar, ludhiana"
2/5/15,https://www.tribuneindia.com/news/punjab/vvip-visits-fail-to-provide-succour-to-cancer-village/38139.html,"tribune news service faridkot, february 4  they came, they saw and they zipped away, leaving behind residents to wonder who would be the next vvip to descend on them to “take stock” of the situation in mari mustafa village, where a number of residents have died of cancer and hepatitis c",death,33,0,17,0,50,"faridkot, moga"
2/5/15,https://www.tribuneindia.com/news/punjab/vvip-visits-fail-to-provide-succour-to-cancer-village/38139.html," besides two deaths due to cancer in his family, there are four other members suffering with hepatitis c in gurtej’s family",death,33,0,17,0,50,"faridkot, moga"
2/5/15,https://www.tribuneindia.com/news/punjab/vvip-visits-fail-to-provide-succour-to-cancer-village/38139.html," after over 60 persons died of cancer and hcv last year, the health department started a large-scale household survey in the village that has a population of 11,000 in the first week of december last year",death,33,0,17,0,50,"faridkot, moga"
2/3/15,https://www.tribuneindia.com/news/courts/hc-sets-3-month-deadline-on-plea-for-flats-by-84-riot-victims/37255.html,hc sets 3-month deadline on plea for flats by ’84 riot victims,death,18,0,5,0,23,sas nagar
2/3/15,https://www.tribuneindia.com/news/courts/hc-sets-3-month-deadline-on-plea-for-flats-by-84-riot-victims/37255.html,"taking up their petition, a division bench has set three-month deadline for gmada to decide their pleas",death,18,0,5,0,23,sas nagar
2/3/15,https://www.tribuneindia.com/news/courts/hc-sets-3-month-deadline-on-plea-for-flats-by-84-riot-victims/37255.html, the latest deadline came on a petition filed against the state of punjab and other respondents by joginder singh and 12 other petitioners through counsel mansur ali and hs deol,death,18,0,5,0,23,sas nagar
2/3/15,https://www.tribuneindia.com/news/courts/hc-sets-3-month-deadline-on-plea-for-flats-by-84-riot-victims/37255.html,"earlier also, the high court in march 2013 had set a two-month deadline for the state of punjab and its functionaries to redress the grievance of 1984 riot victims for handing over the possession of lig flats",death,18,0,5,0,23,sas nagar
1/16/15,https://www.tribuneindia.com/news/diaspora/diaspora-seeks-nri-act/30760.html,"according to a complaint sent by amrik singh, a us-based nri, to ig gurpreet deo, his paralytic father residing in india was killed and cremated by his uncle’s family in 2005",death,4,5,1,0,10,jalandhar
7/17/19,https://www.tribuneindia.com/news/punjab/two-found-dead-in-minor/803051.html,"tribune news service  muktsar, july 16  two youths were found dead in a minor near doda village in the  district on monday night",death,10,3,3,0,16,sri muktsar sahib
7/13/19,https://www.tribuneindia.com/news/punjab/pak-drops-pro-khalistan-activist-gopal-chawla-others-from-psgpc/801600.html,his name had popped up in the investigation into a grenade attack at nirankari bhawan in amritsar in november last wherein three people were killed,death,3,3,1,0,7,"amritsar, gurdaspur, jalandhar"
5/28/19,https://www.tribuneindia.com/news/punjab/india-pak-corridor-talks-hit-a-bump/779230.html,"ravi dhaliwal  tribune news service  gurdaspur, may 27  the fourth “technical committee” meeting on the kartapur corridor between india and pakistan, which was held at zero line today, ended in a deadlock with india suggesting that a 800-metre bridge be built on the ravi while the pakistan delegation, fearing  flooding during monsoons could erode the bridge, suggested a causeway",death,2,1,2,0,5,gurdaspur
9/25/18,https://www.tribuneindia.com/news/punjab/sukhna-gates-shut-after-water-recedes-in-himachal-rivers/658592.html,ush({ }); five deaths were reported from the states due to the rains,death,2,9,6,0,17,sas nagar
9/25/18,https://www.tribuneindia.com/news/punjab/punjab-toll-3-many-towns-waterlogged/658361.html,"tribune news service chandigarh, september 24  three persons, including two children, were drowned on monday as heavy rain continued for the third day across punjab, leaving cities and towns waterlogged and paddy fields flattened in many areas",death,10,6,5,0,21,"amritsar, gurdaspur, jalandhar, ludhiana, pathankot, patiala, sangrur"
